Num,States,2019_Cases,2019_Deaths,2020_Cases,2020_Deaths,2021_Cases,2021_Deaths,2022_Cases,2022_Deaths,2023_Cases,2023_Deaths,2024*_Cases,2024*_Deaths
1,Andhra Pradesh,5286,0,925,0,4760,0,6391,0,6453,0,1836,0
2,Arunachal Pradesh,123,0,1,0,7,0,114,0,130,0,6,0
3,Assam,196,0,33,0,103,0,1826,2,8208,7,270,0
4,Bihar,6712,0,493,2,633,2,13972,32,20224,74,7,0
5,Chattisgarh,722,0,57,0,1086,0,2679,10,2412,0,160,0
6,Goa,992,0,376,0,649,0,443,1,512,3,177,0
7,Gujarat,18219,17,1564,2,10983,14,6682,7,7222,7,893,1
8,Haryana,1207,0,1377,0,11835,13,8996,18,8081,11,69,0
9,Himachal Pradesh,344,2,21,0,349,0,3326,1,1989,0,12,0
10,J & K,439,0,53,0,1709,4,8269,18,6403,10,4,0
11,Jharkhand,825,0,79,0,220,1,290,0,2578,4,76,0
12,Karnataka,16986,13,3823,0,7393,7,9889,9,19300,11,5976,5
13,Kerala,4652,16,4399,5,3251,27,4432,29,17426,153,8115,22
14,Lakshadweep,0,0,0,0,1,0,67,0,445,0,384,0
15,Madhya Pradesh,4189,2,806,0,15592,11,3318,2,6979,0,742,0
16,Meghalaya,82,0,4,0,129,0,26,0,114,0,37,0
17,Maharashtra,14907,29,3356,10,12720,42,8578,27,19034,55,3173,1
18,Manipur,359,0,37,0,203,0,503,4,2548,0,64,0
19,Mizoram,42,0,67,0,83,0,1868,5,2060,2,234,0
20,Nagaland,8,0,1,0,24,0,154,0,4943,2,4,0
21,Odisha,3758,4,496,0,7548,0,7063,0,12845,1,322,0
22,Punjab,10289,14,8435,22,23389,55,11030,41,13687,39,162,0
23,Rajasthan,13706,17,2023,7,20749,96,13491,10,13924,14,1018,0
24,Sikkim,444,0,11,0,243,1,264,0,311,0,59,0
25,Tamil Nadu,8527,5,2410,0,6039,8,6430,8,9121,12,4778,2
26,Tripura,114,0,24,0,349,0,56,0,1447,0,257,0
27,Telangana,13331,7,2173,0,7135,0,8972,0,8016,1,1078,0
28,Uttar Pradesh,10557,26,3715,6,29750,29,19821,33,35402,36,341,1
29,Uttrakhand,10622,8,76,1,738,2,2337,0,4320,17,0,0
30,West Bengal*,NR,NR ,5166,0,8264,7,67271,30,30683,4,441,0
31,A& N Island,168,0,98,0,175,0,1014,3,846,0,37,0
32,Chandigarh,286,0,265,0,1596,3,910,1,454,0,0,0
33,Delhi,5077,0,1269,0,13089,23,10183,9,16866,19,381,0
34,D&N Haveli,1491,2,248,0,547,0,685,0,1178,0,88,0
35,Daman & Diu,625,2,71,0,279,0,228,0,284,1,16,0
36,Puduchery,2030,2,633,1,1625,1,1673,3,2790,2,874,0
